"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4164","verify after return from main screen","","Tue Jun 03 16:56:11 CEST 2025","passed","Tue Jun 03 16:56:15 CEST 2025","","Move items","",""
"","4675","save task and verify priority","","Tue Jun 03 16:52:21 CEST 2025","passed","Tue Jun 03 16:52:26 CEST 2025","","Add priority task","",""
"","4204","verify the correct place of the done task","","Tue Jun 03 16:53:26 CEST 2025","passed","Tue Jun 03 16:53:31 CEST 2025","","Complete the task by steps","",""
"","21063","add task with 3 items and verify","","Tue Jun 03 16:55:09 CEST 2025","passed","Tue Jun 03 16:55:30 CEST 2025","","Done the task by one button","",""
"","22450","create the task with 4 items and verify","","Tue Jun 03 16:56:24 CEST 2025","passed","Tue Jun 03 16:56:46 CEST 2025","","Progress task","",""
"","2083","put text to search field and verify","","Tue Jun 03 16:57:24 CEST 2025","passed","Tue Jun 03 16:57:26 CEST 2025","","Search task","",""
"","11559","add and save the task and verify","","Tue Jun 03 16:54:41 CEST 2025","passed","Tue Jun 03 16:54:52 CEST 2025","","Delete task","",""
"","3169","select time","","Tue Jun 03 16:53:48 CEST 2025","passed","Tue Jun 03 16:53:51 CEST 2025","","Date verify","",""
"","3718","add checklist","","Tue Jun 03 16:52:42 CEST 2025","passed","Tue Jun 03 16:52:46 CEST 2025","","Add task","",""
"","4892","add task and verify","","Tue Jun 03 16:53:39 CEST 2025","passed","Tue Jun 03 16:53:44 CEST 2025","","Date verify","",""
"","3790","delete the task","","Tue Jun 03 16:54:56 CEST 2025","passed","Tue Jun 03 16:55:00 CEST 2025","","Delete task","",""
"","7074","add 2 items from summary screen","","Tue Jun 03 16:56:01 CEST 2025","passed","Tue Jun 03 16:56:08 CEST 2025","","Move items","",""
"","3046","complete the task step by step and add new item","","Tue Jun 03 16:56:52 CEST 2025","passed","Tue Jun 03 16:56:55 CEST 2025","","Progress task","",""
"","2490","drag and drop","","Tue Jun 03 16:56:08 CEST 2025","passed","Tue Jun 03 16:56:11 CEST 2025","","Move items","",""
"","6578","add task info","","Tue Jun 03 16:52:35 CEST 2025","passed","Tue Jun 03 16:52:42 CEST 2025","","Add task","",""
"","2172","change clock to different mode and save the time","","Tue Jun 03 16:53:51 CEST 2025","passed","Tue Jun 03 16:53:53 CEST 2025","","Date verify","",""
"","10327","add task and verify","","Tue Jun 03 16:52:07 CEST 2025","passed","Tue Jun 03 16:52:17 CEST 2025","","Add priority task","",""
"","13114","add task and verify","","Tue Jun 03 16:55:48 CEST 2025","passed","Tue Jun 03 16:56:01 CEST 2025","","Move items","",""
"","3709","go to search screen","","Tue Jun 03 16:57:20 CEST 2025","passed","Tue Jun 03 16:57:24 CEST 2025","","Search task","",""
"","5833","done the task by one screen","","Tue Jun 03 16:55:34 CEST 2025","passed","Tue Jun 03 16:55:40 CEST 2025","","Done the task by one button","",""
"","1632","go to main screen","","Tue Jun 03 16:52:47 CEST 2025","passed","Tue Jun 03 16:52:49 CEST 2025","","Add task","",""
"","5492","enter complete screen and the task","","Tue Jun 03 16:56:46 CEST 2025","passed","Tue Jun 03 16:56:52 CEST 2025","","Progress task","",""
"","20786","add task with 3 items and verify","","Tue Jun 03 16:52:58 CEST 2025","passed","Tue Jun 03 16:53:19 CEST 2025","","Complete the task by steps","",""
"","11861","add task and verify","","Tue Jun 03 16:57:08 CEST 2025","passed","Tue Jun 03 16:57:20 CEST 2025","","Search task","",""
"","4283","scroll and set priority","","Tue Jun 03 16:52:17 CEST 2025","passed","Tue Jun 03 16:52:21 CEST 2025","","Add priority task","",""
"","4033","verify and enter the task screen","","Tue Jun 03 16:54:52 CEST 2025","passed","Tue Jun 03 16:54:56 CEST 2025","","Delete task","",""
"","1905","save the task","","Tue Jun 03 16:52:46 CEST 2025","passed","Tue Jun 03 16:52:47 CEST 2025","","Add task","",""
"","4167","verify and enter the task screen","","Tue Jun 03 16:55:30 CEST 2025","passed","Tue Jun 03 16:55:34 CEST 2025","","Done the task by one button","",""
"","3730","select date","","Tue Jun 03 16:53:44 CEST 2025","passed","Tue Jun 03 16:53:48 CEST 2025","","Date verify","",""
"","3946","go to edit screen and delete item on checklist","","Tue Jun 03 16:54:27 CEST 2025","passed","Tue Jun 03 16:54:30 CEST 2025","","Delete checklist item","",""
"","5346","go to complete screen","","Tue Jun 03 16:53:19 CEST 2025","passed","Tue Jun 03 16:53:24 CEST 2025","","Complete the task by steps","",""
"","1606","go back to main screen and verify items number","","Tue Jun 03 16:54:30 CEST 2025","passed","Tue Jun 03 16:54:32 CEST 2025","","Delete checklist item","",""
"","2299","complete every part and verify","","Tue Jun 03 16:53:24 CEST 2025","passed","Tue Jun 03 16:53:26 CEST 2025","","Complete the task by steps","",""
"","5398","add additional item and verify progress bar","","Tue Jun 03 16:56:55 CEST 2025","passed","Tue Jun 03 16:57:00 CEST 2025","","Progress task","",""
"","25002","add and save task with 3 checklist items","","Tue Jun 03 16:54:02 CEST 2025","passed","Tue Jun 03 16:54:27 CEST 2025","","Delete checklist item","",""
